name,date,water_depth,water_level
BB Upland Well 1,2018-08-23,-0.6913956174305557,0.13860438256944427
BB Upland Well 1,2018-08-24,-0.7248647398055559,0.10513526019444405
BB Upland Well 1,2018-08-25,-0.7496966921527778,0.0803033078472222
BB Upland Well 1,2018-08-26,-0.7651316414444446,0.0648683585555554
BB Upland Well 1,2018-08-27,-0.802755414680556,0.027244585319443963
BB Upland Well 1,2018-08-28,-0.8328729156944445,-0.0028729156944445346
BB Upland Well 1,2018-08-29,-0.8602354023611112,-0.030235402361111254
BB Upland Well 1,2018-08-30,-0.9019688596388887,-0.07196885963888876
BB Upland Well 1,2018-08-31,-0.9293401980416666,-0.09934019804166659
BB Upland Well 1,2018-09-01,-0.9303490599120371,-0.10034905991203709
BB Upland Well 1,2018-09-02,-0.9338417189351852,-0.1038417189351852
BB Upland Well 1,2018-09-03,-0.9561138672222224,-0.12611386722222237
BB Upland Well 1,2018-09-04,-0.9803130974722224,-0.1503130974722225
BB Upland Well 1,2018-09-05,-0.9986574353888886,-0.16865743538888867
BB Upland Well 1,2018-09-06,-1.016634957361111,-0.1866349573611112
BB Upland Well 1,2018-09-07,-1.0240824540555553,-0.1940824540555553
BB Upland Well 1,2018-09-08,-1.0207432251249997,-0.19074322512499975
BB Upland Well 1,2018-09-09,-0.9181431059305557,-0.08814310593055574
BB Upland Well 1,2018-09-10,-0.5737815375138888,0.2562184624861111
BB Upland Well 1,2018-09-11,-0.43948335130555566,0.3905166486944443
BB Upland Well 1,2018-09-12,-0.13121904472685195,0.698780955273148
BB Upland Well 1,2018-09-13,-0.18564518344907407,0.6443548165509259
BB Upland Well 1,2018-09-14,-0.2214512821805558,0.6085487178194442
BB Upland Well 1,2018-09-15,-0.25638943868055575,0.5736105613194442
BB Upland Well 1,2018-09-16,-0.301527627736111,0.528472372263889
BB Upland Well 1,2018-09-17,-0.3274575494305556,0.5025424505694444
BB Upland Well 1,2018-09-18,-0.3358681150138888,0.49413188498611116
BB Upland Well 1,2018-09-19,-0.352558240486111,0.47744175951388895
BB Upland Well 1,2018-09-20,-0.3959190009305556,0.43408099906944436
BB Upland Well 1,2018-09-21,-0.40561908743055536,0.4243809125694446
BB Upland Well 1,2018-09-22,-0.42602552579166664,0.4039744742083333
BB Upland Well 1,2018-09-23,-0.3851917589722224,0.44480824102777755
BB Upland Well 1,2018-09-24,-0.10690061109722197,0.723099388902778
BB Upland Well 1,2018-09-25,-0.14229480904166686,0.687705190958333
BB Upland Well 1,2018-09-26,-0.1883029467222223,0.6416970532777776
BB Upland Well 1,2018-09-27,-0.20800549502777785,0.6219945049722221
BB Upland Well 1,2018-09-28,-0.16150927261805567,0.6684907273819443
BB Upland Well 1,2018-09-29,-0.18565096658333355,0.6443490334166664
BB Upland Well 1,2018-09-30,-0.24118675894444447,0.5888132410555555
BB Upland Well 1,2018-10-01,-0.2722644962916669,0.557735503708333
BB Upland Well 1,2018-10-02,-0.29486899776388886,0.5351310022361111
BB Upland Well 1,2018-10-03,-0.31925092784722225,0.5107490721527778
BB Upland Well 1,2018-10-04,-0.33864685201388917,0.4913531479861108
BB Upland Well 1,2018-10-05,-0.36482662871296306,0.46517337128703684
BB Upland Well 1,2018-10-06,-0.35798624309259275,0.4720137569074072
BB Upland Well 1,2018-10-07,-0.36361535714351906,0.4663846428564809
BB Upland Well 1,2018-10-08,-0.38520108280092585,0.4447989171990741
BB Upland Well 1,2018-10-09,-0.38179906555555554,0.4482009344444444
BB Upland Well 1,2018-10-10,-0.38675922440277805,0.4432407755972219
BB Upland Well 1,2018-10-11,-0.3637858710868056,0.46621412891319436
BB Upland Well 1,2018-10-12,-0.08947791594444461,0.7405220840555553
BB Upland Well 1,2018-10-13,-0.1442485642361111,0.6857514357638889
BB Upland Well 1,2018-10-14,-0.17458452609722236,0.6554154739027775
BB Upland Well 1,2018-10-15,-0.1712240530000001,0.6587759469999999
BB Upland Well 1,2018-10-16,-0.1806777071666667,0.6493222928333332
BB Upland Well 1,2018-10-17,-0.203744269263889,0.626255730736111
BB Upland Well 1,2018-10-18,-0.241339362875,0.5886606371249999
BB Upland Well 1,2018-10-19,-0.23863568859722267,0.5913643114027773
BB Upland Well 1,2018-10-20,-0.22275744436111117,0.6072425556388888
BB Upland Well 1,2018-10-21,-0.26170437511111133,0.5682956248888886
