date,water_depth,water_level,water_level_gf,wetland,year,wateryear,inund,inund_gf,delta_1d,dir_1d,well_dry
2020-12-18,0.635363021583333,0.635363021583333,0.635363021583333,JB,2020,2021,1,1,-0.016810509083333702,-1,0
2020-12-19,0.6309888476666665,0.6309888476666665,0.6309888476666665,JB,2020,2021,1,1,-0.004374173916666502,-1,0
2020-12-20,0.6280412195416661,0.6280412195416661,0.6280412195416661,JB,2020,2021,1,1,-0.002947628125000379,-1,0
2020-12-21,0.6262779537083328,0.6262779537083328,0.6262779537083328,JB,2020,2021,1,1,-0.0017632658333333051,-1,0
2020-12-22,0.6257659692916663,0.6257659692916663,0.6257659692916663,JB,2020,2021,1,1,-5.119844166665555e-4,-1,0
2020-12-23,0.6234237999166666,0.6234237999166666,0.6234237999166666,JB,2020,2021,1,1,-0.0023421693749996475,-1,0
2020-12-24,0.6215840550833329,0.6215840550833329,0.6215840550833329,JB,2020,2021,1,1,-0.0018397448333337119,-1,0
2020-12-25,0.6718073894999999,0.6718073894999999,0.6718073894999999,JB,2020,2021,1,1,0.05022333441666693,1,0
2020-12-26,0.6431776882916671,0.6431776882916671,0.6431776882916671,JB,2020,2021,1,1,-0.028629701208332747,-1,0
2020-12-27,0.6371539048333331,0.6371539048333331,0.6371539048333331,JB,2020,2021,1,1,-0.006023783458333987,-1,0
2020-12-28,0.6361819842083329,0.6361819842083329,0.6361819842083329,JB,2020,2021,1,1,-9.719206250001777e-4,-1,0
2020-12-29,0.6346757727916666,0.6346757727916666,0.6346757727916666,JB,2020,2021,1,1,-0.001506211416666292,-1,0
2020-12-30,0.6332534758333336,0.6332534758333336,0.6332534758333336,JB,2020,2021,1,1,-0.0014222969583330691,-1,0
2020-12-31,0.6311927916666663,0.6311927916666663,0.6311927916666663,JB,2020,2021,1,1,-0.0020606841666672704,-1,0
2021-01-01,0.6294911339166669,0.6294911339166669,0.6294911339166669,JB,2021,2021,1,1,-0.001701657749999419,-1,0
2021-01-02,0.6474764454166663,0.6474764454166663,0.6474764454166663,JB,2021,2021,1,1,0.01798531149999938,1,0
2021-01-03,0.6431426354166662,0.6431426354166662,0.6431426354166662,JB,2021,2021,1,1,-0.0043338100000001045,-1,0
2021-01-04,0.6414038003749997,0.6414038003749997,0.6414038003749997,JB,2021,2021,1,1,-0.0017388350416664977,-1,0
2021-01-05,0.6369510230416663,0.6369510230416663,0.6369510230416663,JB,2021,2021,1,1,-0.00445277733333338,-1,0
2021-01-06,0.6316909673749995,0.6316909673749995,0.6316909673749995,JB,2021,2021,1,1,-0.005260055666666763,-1,0
2021-01-07,0.6295994791666666,0.6295994791666666,0.6295994791666666,JB,2021,2021,1,1,-0.0020914882083329367,-1,0
2021-01-08,0.6280210375833332,0.6280210375833332,0.6280210375833332,JB,2021,2021,1,1,-0.001578441583333423,-1,0
2021-01-09,0.6266029894583331,0.6266029894583331,0.6266029894583331,JB,2021,2021,1,1,-0.0014180481250000154,-1,0
2021-01-10,0.6250606629583331,0.6250606629583331,0.6250606629583331,JB,2021,2021,1,1,-0.0015423265000000796,-1,0
2021-01-11,0.623231540208333,0.623231540208333,0.623231540208333,JB,2021,2021,1,1,-0.0018291227500000229,-1,0
2021-01-12,0.6222702416666661,0.6222702416666661,0.6222702416666661,JB,2021,2021,1,1,-9.612985416669328e-4,-1,0
2021-01-13,0.6200427907916661,0.6200427907916661,0.6200427907916661,JB,2021,2021,1,1,-0.002227450874999981,-1,0
2021-01-14,0.6191505357916662,0.6191505357916662,0.6191505357916662,JB,2021,2021,1,1,-8.922549999998974e-4,-1,0
2021-01-15,0.6178153399166662,0.6178153399166662,0.6178153399166662,JB,2021,2021,1,1,-0.0013351958750000836,-1,0
2021-01-16,0.6276577623333335,0.6276577623333335,0.6276577623333335,JB,2021,2021,1,1,0.009842422416667329,1,0
2021-01-17,0.6269832600416667,0.6269832600416667,0.6269832600416667,JB,2021,2021,1,1,-6.745022916667676e-4,-1,0
2021-01-18,0.6230775199999998,0.6230775199999998,0.6230775199999998,JB,2021,2021,1,1,-0.003905740041666883,-1,0
2021-01-19,0.6202722277916661,0.6202722277916661,0.6202722277916661,JB,2021,2021,1,1,-0.0028052922083336984,-1,0
2021-01-20,0.6193502309583329,0.6193502309583329,0.6193502309583329,JB,2021,2021,1,1,-9.219968333332718e-4,-1,0
2021-01-21,0.616115806583333,0.616115806583333,0.616115806583333,JB,2021,2021,1,1,-0.003234424374999878,-1,0
2021-01-22,0.6145586091666664,0.6145586091666664,0.6145586091666664,JB,2021,2021,1,1,-0.0015571974166666003,-1,0
2021-01-23,0.6119838161666663,0.6119838161666663,0.6119838161666663,JB,2021,2021,1,1,-0.002574793000000075,-1,0
2021-01-24,0.6093272331249997,0.6093272331249997,0.6093272331249997,JB,2021,2021,1,1,-0.0026565830416666047,-1,0
2021-01-25,0.6087653249166665,0.6087653249166665,0.6087653249166665,JB,2021,2021,1,1,-5.619082083332394e-4,-1,0
2021-01-26,0.6096798862916666,0.6096798862916666,0.6096798862916666,JB,2021,2021,1,1,9.145613750001225e-4,1,0
2021-01-27,0.6118956528749999,0.6118956528749999,0.6118956528749999,JB,2021,2021,1,1,0.002215766583333334,1,0
2021-01-28,0.6095173684166666,0.6095173684166666,0.6095173684166666,JB,2021,2021,1,1,-0.002378284458333324,-1,0
2021-01-29,0.6061013064166667,0.6061013064166667,0.6061013064166667,JB,2021,2021,1,1,-0.0034160619999998865,-1,0
2021-01-30,0.6050539690000001,0.6050539690000001,0.6050539690000001,JB,2021,2021,1,1,-0.0010473374166666272,-1,0
2021-01-31,0.6048829534583331,0.6048829534583331,0.6048829534583331,JB,2021,2021,1,1,-1.7101554166698563e-4,-1,0
2021-02-01,0.6178939433333337,0.6178939433333337,0.6178939433333337,JB,2021,2021,1,1,0.0130109898750006,1,0
2021-02-02,0.6232442867083337,0.6232442867083337,0.6232442867083337,JB,2021,2021,1,1,0.005350343374999955,1,0
2021-02-03,0.6214948295833336,0.6214948295833336,0.6214948295833336,JB,2021,2021,1,1,-0.0017494571250000757,-1,0
2021-02-04,0.6194298965833333,0.6194298965833333,0.6194298965833333,JB,2021,2021,1,1,-0.002064933000000324,-1,0
2021-02-05,0.6205303444166664,0.6205303444166664,0.6205303444166664,JB,2021,2021,1,1,0.0011004478333331846,1,0
2021-02-06,0.6199610007499998,0.6199610007499998,0.6199610007499998,JB,2021,2021,1,1,-5.693436666666107e-4,-1,0
2021-02-07,0.6237339647499996,0.6237339647499996,0.6237339647499996,JB,2021,2021,1,1,0.0037729639999998232,1,0
2021-02-08,0.6335094680416663,0.6335094680416663,0.6335094680416663,JB,2021,2021,1,1,0.009775503291666654,1,0
2021-02-09,0.6305586532916667,0.6305586532916667,0.6305586532916667,JB,2021,2021,1,1,-0.0029508147499995863,-1,0
2021-02-10,0.6286541137500001,0.6286541137500001,0.6286541137500001,JB,2021,2021,1,1,-0.0019045395416665833,-1,0
2021-02-11,0.6325332985833335,0.6325332985833335,0.6325332985833335,JB,2021,2021,1,1,0.0038791848333333823,1,0
2021-02-12,0.6309612302500003,0.6309612302500003,0.6309612302500003,JB,2021,2021,1,1,-0.001572068333333232,-1,0
2021-02-13,0.628560639416667,0.628560639416667,0.628560639416667,JB,2021,2021,1,1,-0.002400590833333327,-1,0
2021-02-14,0.6309559192083335,0.6309559192083335,0.6309559192083335,JB,2021,2021,1,1,0.002395279791666538,1,0
2021-02-15,0.633307648458333,0.633307648458333,0.633307648458333,JB,2021,2021,1,1,0.00235172924999949,1,0
2021-02-16,0.6453722107083335,0.6453722107083335,0.6453722107083335,JB,2021,2021,1,1,0.012064562250000521,1,0
2021-02-17,0.6375671038749996,0.6375671038749996,0.6375671038749996,JB,2021,2021,1,1,-0.007805106833333908,-1,0
2021-02-18,0.6373015517916664,0.6373015517916664,0.6373015517916664,JB,2021,2021,1,1,-2.6555208333323144e-4,-1,0
2021-02-19,0.6383340182916665,0.6383340182916665,0.6383340182916665,JB,2021,2021,1,1,0.0010324665000001065,1,0
2021-02-20,0.63706467933333355,0.63706467933333355,0.63706467933333355,JB,2021,2021,1,1,-0.0012693389583329218,-1,0
2021-02-21,0.6355414725833334,0.6355414725833334,0.6355414725833334,JB,2021,2021,1,1,-0.0015232067500001722,-1,0
2021-02-22,0.6416353617916666,0.6416353617916666,0.6416353617916666,JB,2021,2021,1,1,0.006093889208333203,1,0
2021-02-23,0.6510305945,0.6510305945,0.6510305945,JB,2021,2021,1,1,0.009395232708333423,1,0
2021-02-24,0.6453679618749999,0.6453679618749999,0.6453679618749999,JB,2021,2021,1,1,-0.005662632625000108,-1,0
2021-02-25,0.6422610024999997,0.6422610024999997,0.6422610024999997,JB,2021,2021,1,1,-0.0031069593750001623,-1,0
2021-02-26,0.6376202142916667,0.6376202142916667,0.6376202142916667,JB,2021,2021,1,1,-0.004640788208333024,-1,0
2021-02-27,0.6418860429583331,0.6418860429583331,0.6418860429583331,JB,2021,2021,1,1,0.00426582866666636,1,0
2021-02-28,0.6471237922499996,0.6471237922499996,0.6471237922499996,JB,2021,2021,1,1,0.005237749291666538,1,0
2021-03-01,0.6615167151666667,0.6615167151666667,0.6615167151666667,JB,2021,2021,1,1,0.01439292291666705,1,0
2021-03-02,0.6495307563333335,0.6495307563333335,0.6495307563333335,JB,2021,2021,1,1,-0.011985958833333199,-1,0
2021-03-03,0.6430757162916668,0.6430757162916668,0.6430757162916668,JB,2021,2021,1,1,-0.006455040041666638,-1,0
2021-03-04,0.6396660275416668,0.6396660275416668,0.6396660275416668,JB,2021,2021,1,1,-0.0034096887500000284,-1,0
2021-03-05,0.6363668084583336,0.6363668084583336,0.6363668084583336,JB,2021,2021,1,1,-0.0032992190833331936,-1,0
2021-03-06,0.6344272160416671,0.6344272160416671,0.6344272160416671,JB,2021,2021,1,1,-0.0019395924166665246,-1,0
2021-03-07,0.6328434634166662,0.6328434634166662,0.6328434634166662,JB,2021,2021,1,1,-0.0015837526250008782,-1,0
2021-03-08,0.6303122209583331,0.6303122209583331,0.6303122209583331,JB,2021,2021,1,1,-0.0025312424583331383,-1,0
2021-03-09,0.6282908384999997,0.6282908384999997,0.6282908384999997,JB,2021,2021,1,1,-0.0020213824583333873,-1,0
2021-03-10,0.6260506411249998,0.6260506411249998,0.6260506411249998,JB,2021,2021,1,1,-0.0022401973749999193,-1,0
2021-03-11,0.6228788870416667,0.6228788870416667,0.6228788870416667,JB,2021,2021,1,1,-0.0031717540833330338,-1,0
2021-03-12,0.6191271672083332,0.6191271672083332,0.6191271672083332,JB,2021,2021,1,1,-0.0037517198333335555,-1,0
2021-03-13,0.6151247662083336,0.6151247662083336,0.6151247662083336,JB,2021,2021,1,1,-0.0040024009999996,-1,0
2021-03-14,0.6127401084999998,0.6127401084999998,0.6127401084999998,JB,2021,2021,1,1,-0.0023846577083337372,-1,0
2021-03-15,0.6110246420416666,0.6110246420416666,0.6110246420416666,JB,2021,2021,1,1,-0.0017154664583332035,-1,0
2021-03-16,0.6098434663749999,0.6098434663749999,0.6098434663749999,JB,2021,2021,1,1,-0.001181175666666756,-1,0
2021-03-17,0.6098232844166669,0.6098232844166669,0.6098232844166669,JB,2021,2021,1,1,-2.0181958332976535e-5,-1,0
2021-03-18,0.6150567848750003,0.6150567848750003,0.6150567848750003,JB,2021,2021,1,1,0.005233500458333373,1,0
